Estudiante,Nota,Edad
Estudiante1,93,28
Estudiante2,79,21
Estudiante3,83,23
Estudiante4,85,26
Estudiante5,80,24
Estudiante6,79,23
Estudiante7,80,27
Estudiante8,84,26
Estudiante9,76,23
Estudiante10,86,27
Estudiante11,82,26
Estudiante12,87,26
Estudiante13,87,25
Estudiante14,86,27
Estudiante15,79,27
Estudiante16,75,24
Estudiante17,75,21
Estudiante18,68,22
Estudiante19,80,25
Estudiante20,81,25
Estudiante21,86,26
Estudiante22,85,26
Estudiante23,83,26
Estudiante24,85,26
Estudiante25,81,25
Estudiante26,80,25
Estudiante27,82,26
Estudiante28,83,25
Estudiante29,85,26
Estudiante30,80,24
Estudiante31,79,23
Estudiante32,81,24
Estudiante33,82,24
Estudiante34,83,25
Estudiante35,81,25
Estudiante36,82,26
Estudiante37,80,24
Estudiante38,90,28
Estudiante39,90,28
Estudiante40,81,29
Estudiante41,91,26
Estudiante42,92,27
Estudiante43,93,28
Estudiante44,93,28
Estudiante45,83,29
Estudiante46,86,26
Estudiante47,87,26
Estudiante48,88,27
Estudiante49,88,27
Estudiante51,100,29
Estudiante52,73,23
Estudiante53,73,27
Estudiante54,73,27
